movie, score
deadpool2, 7.8
the_big_short, 7.8
fury, 7.6
killing_them_softly, 6.2
touch_of_evil, 6.9
moneyball, 7.6
the_tree_of_life, 6.8
inglorious_baasterds, 8.3
curious_case_benjamin, 7.8
assassination_jesse_james, 7.5
mr_mrs_smith, 6.5
ocean_twelve, 6.5
ocean_eleven, 7.8
spy_game, 7.1
the_mexican, 6.1
being_john_malkovich, 7.8
seven_years_tibet, 7.0
sleepers, 7.6
legends_of_the_fall, 7.5
river_run_through, 7.3
cool_world, 4.8
cutting_glass, 4.3
dark_side_sun, 5.5
stoning_fulham_county, 6.0
fight_club, 8.8
snatch, 8.3
seven, 8.3
the_favour, 5.3